Model,CV Accuracy (%),CV Std (%),Test Accuracy (%),Recall (%),Precision (%),F1 (%),FN Rate (%),Specificity (%)
k-NN,80.97789115646258,3.8207249987328877,91.80327868852459,96.42857142857143,87.09677419354838,91.52542372881356,3.571428571428571,87.87878787878788
Lojistik Regresyon,83.45238095238095,4.3569788930791695,90.1639344262295,92.85714285714286,86.66666666666667,89.65517241379311,7.142857142857142,87.87878787878788
SVM,83.85204081632655,4.101196735168664,88.52459016393442,96.42857142857143,81.81818181818183,88.52459016393442,3.571428571428571,81.81818181818183
Karar Agaclari,77.68707482993197,1.9982812273026669,78.68852459016394,78.57142857142857,75.86206896551724,77.19298245614034,21.428571428571427,78.78787878787878
Naive Bayes,69.00510204081633,4.102131067023106,63.934426229508205,89.28571428571429,56.81818181818182,69.44444444444446,10.714285714285714,42.42424242424242
